CreatedByDsc,CreatedByName,DefaultUoMIdDsc,DefaultUoMIdName,DefaultUoMScheduleIdDsc,DefaultUoMScheduleIdName,ModifiedByDsc,ModifiedByName,OrganizationIdDsc,OrganizationIdName,PriceLevelIdDsc,PriceLevelIdName,SubjectIdDsc,SubjectIdName,DeletionStateCode,Name,Description,ProductTypeCode,ProductUrl,Price,IsKit,ProductNumber,Size,CurrentCost,StockVolume,StandardCost,StockWeight,QuantityDecimal,QuantityOnHand,IsStockItem,SupplierName,VendorName,VendorPartNumber,CreatedOn,ModifiedOn,StateCode,StatusCode
0,Rubaiyat Khan,0,Single,0,Bike and Frame,0,Rubaiyat Khan,0,Adventure Works Cycle,0,Wholesale,0,Components,0,"HL Road Frame - Black, 58",Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,1,,1431.5,FALSE,FR-R92B-58,58,1207.6134,,1059.31,2.24,0,,TRUE,,,,8/30/2007,8/30/2007,0,1
0,Rubaiyat Khan,0,Single,0,Bike and Frame,0,Rubaiyat Khan,0,Adventure Works Cycle,0,Wholesale,0,Road Bikes,0,"Road-250 Red, 44","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",1,,2443.35,FALSE,BK-R89R-44,44,1844.2406,,1808.079,14.77273,0,163,TRUE,,,,8/30/2007,8/30/2007,0,1
0,Rubaiyat Khan,0,Each,0,General,0,Rubaiyat Khan,0,Adventure Works Cycle,0,Wholesale,0,Components,0,HL Mtn Handlebars,Flat bar strong enough for the pro circuit.,1,,120.27,FALSE,HB-M918,,92.5598,,88.9998,,0,840,TRUE,,,,8/30/2007,8/30/2007,0,1
0,Rubaiyat Khan,0,Single,0,Bike and Frame,0,Rubaiyat Khan,0,Adventure Works Cycle,0,Wholesale,0,Components,0,"HL Road Frame - Red, 48",Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,1,,1431.5,FALSE,FR-R92R-48,48,1207.6134,,1059.31,2.16,0,,TRUE,,,,8/30/2007,8/30/2007,1,2
0,Rubaiyat Khan,0,Single,0,Bike and Frame,0,Rubaiyat Khan,0,Adventure Works Cycle,0,Wholesale,0,Components,0,"LL Road Frame - Black, 48","The LL Frame provides a safe, comfortable ride, while offering superior bumb absorption in a value-priced aluminum frame.",1,,337.22,FALSE,FR-R38B-48,48,284.4788,,249.5428,2.36,0,,TRUE,,,,8/30/2007,8/30/2007,0,1
0,Rubaiyat Khan,0,Single,0,Bike and Frame,0,Rubaiyat Khan,0,Adventure Works Cycle,0,Wholesale,0,Mountain Bikes,0,"Mountain-500 Silver, 44","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",1,,564.99,FALSE,BK-M18S-44,44,422.2735,,418.0926,28.125,0,153,TRUE,,,,8/30/2007,8/30/2007,0,1
0,Rubaiyat Khan,0,Each,0,General,0,Rubaiyat Khan,0,Adventure Works Cycle,0,Wholesale,0,Components,0,ML Road Front Wheel,Sturdy alloy features a quick-release hub.,1,,248.385,FALSE,FW-R762,,215.0517,,183.8049,850,0,793,TRUE,,,,8/30/2007,8/30/2007,0,1
0,Rubaiyat Khan,0,Single,0,Bike and Frame,0,Rubaiyat Khan,0,Adventure Works Cycle,0,Wholesale,0,Mountain Bikes,0,"Mountain-300 Black, 40",For true trail addicts.  An extremely durable  bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,1,,1079.99,FALSE,BK-M47B-40,40,807.1845,,799.1926,25.77273,0,223,TRUE,,,,8/30/2007,8/30/2007,0,1
0,Rubaiyat Khan,0,Each,0,General,0,Rubaiyat Khan,0,Adventure Works Cycle,0,Wholesale,0,Clothing and Accessories,0,Mini-pump,Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.,1,,19.99,FALSE,PU-0452,,14.9525,,10.9945,,0,288,TRUE,,,,8/30/2007,8/30/2007,0,1
0,Rubaiyat Khan,0,Each,0,General,0,Rubaiyat Khan,0,Adventure Works Cycle,0,Wholesale,0,Components,0,HL Road Handlebars,Designed for racers; high-end anatomically shaped bar from aluminum alloy.,1,,120.27,FALSE,HB-R956,,92.5598,,88.9998,,0,811,TRUE,,,,8/30/2007,8/30/2007,0,1
